ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
ACG9BA1000K7,Realm Inform,Not Using,Closed Doors/Merged,2019-03-26,2021-01-08,Evansville,IN,47714-2213,Vanderburgh,US,Christian Ch. Disc. of Christ,Other,225,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,False,IN,2,820 <= days < 1200,IN VANDERBURGH,REPUBLICAN,False
ACG9BA1000YM,Realm Connect,Active,,2021-04-08,,Brownsburg,IN,46112,,US,Methodist - UMC,Methodist,400,Church,,,False,True,False,False,False,False,True,False,False,False,< 1479,N,True,IN,3,365 <= days < 650,-1,N,False
ACH8EA1000QX,Realm Connect,Active,,2020-10-13,,Davis,CA,95616-3463,Yolo,US,Episcopal,Episcopal and Anglican,570,Church,6,6,False,False,True,False,False,False,False,False,True,False,< 1479,< 256,True,CA,0,365 <= days < 650,CA YOLO,DEMOCRAT,False
ACHFOA20002S,Realm Connect,Active,,2019-08-06,,Ashland,VA,23005-1607,Hanover,US,Methodist - UMC,Methodist,653,Church,10,78,False,True,False,False,False,False,False,False,False,False,< 1479,< 256,True,VA,0,820 <= days < 1200,VA HANOVER,REPUBLICAN,False
ACHFOA20002T,Realm Connect,Active,,2017-02-17,,Richmond,VA,23230-3818,Richmond City,US,Presbyterian - PCUSA,Presbyterian,400,Church,4,28,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,VA,0,> 1200 days,VA RICHMOND CITY,DEMOCRAT,False
ACHFOA200036,Realm Connect,Active,,2020-01-28,,McLean,VA,22101-3947,Fairfax,US,Baptist - CBF,Baptist,550,Church,7,82,False,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,VA,0,820 <= days < 1200,VA FAIRFAX,DEMOCRAT,False
ACHFOA20003B,Realm Inform,Active,,2018-10-01,,Reisterstown,MD,21136-1287,Baltimore,US,Methodist - UMC,Methodist,,Church,9,28,False,False,True,True,False,False,False,False,False,False,N,< 256,True,MD,1,> 1200 days,MD BALTIMORE,DEMOCRAT,False
ACHFOA20007R,Realm Multiply,Active,,2017-10-09,,Spotsylvania,VA,22551-2473,Spotsylvania,US,Assembly of God,Assembly of God,300,Church,17,119,False,False,True,True,False,False,True,False,False,False,< 1479,< 256,True,VA,0,> 1200 days,VA SPOTSYLVANIA,DEMOCRAT,False
ACHFOA2000OR,Realm Multiply,Active,,2017-06-29,,Alexandria,VA,22308-1602,Fairfax,US,Methodist - UMC,Methodist,1802,Church,17,343,True,True,True,True,False,False,True,True,False,False,1479 - 7878,256-1056,True,VA,0,> 1200 days,VA FAIRFAX,DEMOCRAT,False
ACHFOA2000XD,Realm Connect,Active,,2020-07-30,,Franconia,VA,22310-2542,Fairfax,US,Episcopal,Episcopal and Anglican,352,Church,4,25,True,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,VA,0,Covid Purchase,VA FAIRFAX,DEMOCRAT,True
ACHFOA20016J,Realm Connect,Active,,2017-11-08,,Glen Allen,VA,23059-5738,Henrico,US,Methodist - UMC,Methodist,1050,Church,19,312,False,True,True,True,False,True,True,True,False,False,< 1479,256-1056,True,VA,0,> 1200 days,VA HENRICO,DEMOCRAT,False
ACHFOA20016N,Realm Multiply,Active,,2018-01-24,,Richmond,VA,23223-1300,Henrico,US,Non - Denominational,Non - Denominational,500,Church,9,157,False,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,VA,0,> 1200 days,VA HENRICO,DEMOCRAT,False
ACHFOA2001F7,Realm Connect,Active,,2021-04-29,,Baltimore,MD,21217-4202,Baltimore City,US,Episcopal,Episcopal and Anglican,350,Church,7,35,False,False,False,True,False,False,False,False,False,False,< 1479,< 256,True,MD,0,365 <= days < 650,MD BALTIMORE CITY,DEMOCRAT,False
ACHFOA2001I7,Realm Connect,Active,,2017-04-17,,Riverdale,MD,20737-2112,,US,Church of God in Christ,Church of God in Christ,2700,Church,5,0,False,False,False,False,False,False,False,False,False,False,1479 - 7878,< 256,True,MD,1,> 1200 days,-1,N,False
